target_group,date,value
Overall,2022-01-08,0
Overall,2022-01-15,0
Overall,2022-01-22,0
Overall,2022-01-29,0
Overall,2022-02-05,0
Overall,2022-02-12,0
Overall,2022-02-19,0
Overall,2022-02-26,0
Overall,2022-03-05,0
Overall,2022-03-12,0
Overall,2022-03-19,0
Overall,2022-03-26,0
Overall,2022-04-02,0
Overall,2022-04-09,0
Overall,2022-04-16,0
Overall,2022-04-23,0
Overall,2022-04-30,0
Overall,2022-05-07,1
Overall,2022-05-14,0
Overall,2022-05-21,0
Overall,2022-05-28,0
Overall,2022-06-04,1
Overall,2022-06-11,5
Overall,2022-06-18,14
Overall,2022-06-25,21
Overall,2022-07-02,59
Overall,2022-07-09,77
Overall,2022-07-16,72
Overall,2022-07-23,83
Overall,2022-07-30,37
Overall,2022-08-06,34
Overall,2022-08-13,20
Overall,2022-08-20,6
Overall,2022-08-27,3
Overall,2022-09-03,3
Overall,2022-09-10,1
Overall,2022-09-17,0
Overall,2022-09-24,0
Overall,2022-10-01,0
Overall,2022-10-08,0
Overall,2022-10-15,0
Overall,2022-10-22,0
Overall,2022-10-29,0
Overall,2022-11-05,1
Overall,2022-11-12,1
Overall,2022-11-19,0
Overall,2022-11-26,1
Overall,2022-12-03,0
Overall,2022-12-10,0
Overall,2022-12-17,0
Overall,2022-12-24,1
Overall,2022-12-31,1
Overall,2023-01-07,1
Overall,2023-01-14,2
Overall,2023-01-21,1
Overall,2023-01-28,0
Overall,2023-02-04,2
Overall,2023-02-11,2
Overall,2023-02-18,1
Overall,2023-02-25,1
Overall,2023-03-04,5
Overall,2023-03-11,4
Overall,2023-03-18,6
Overall,2023-03-25,0
Overall,2023-04-01,4
Overall,2023-04-08,8
Overall,2023-04-15,12
Overall,2023-04-22,1
Overall,2023-04-29,4
Overall,2023-05-06,5
Overall,2023-05-13,9
Overall,2023-05-20,10
Overall,2023-05-27,6
Overall,2023-06-03,15
Overall,2023-06-10,14
Overall,2023-06-17,26
Overall,2023-06-24,41
Overall,2023-07-01,23
Overall,2023-07-08,94
Overall,2023-07-15,125
Overall,2023-07-22,179
Overall,2023-07-29,158
Overall,2023-08-05,221
Overall,2023-08-12,227
Overall,2023-08-19,148
Overall,2023-08-26,167
Overall,2023-09-02,164
Overall,2023-09-09,125
Overall,2023-09-16,124
Overall,2023-09-23,99
Overall,2023-09-30,33
Overall,2023-10-07,29
Overall,2023-10-14,13
Overall,2023-10-21,7
Overall,2023-10-28,13
Overall,2023-11-04,4
Overall,2023-11-11,2
Overall,2023-11-18,2
Overall,2023-11-25,4
Overall,2023-12-02,0
Overall,2023-12-09,1
Overall,2023-12-16,0
Overall,2023-12-23,1
Overall,2023-12-30,0
Overall,2024-01-06,0
Overall,2024-01-13,1
Overall,2024-01-20,2
Overall,2024-01-27,2
Overall,2024-02-03,5
Overall,2024-02-10,0
Overall,2024-02-17,6
Overall,2024-02-24,4
Overall,2024-03-02,10
Overall,2024-03-09,1
Overall,2024-03-16,22
Overall,2024-03-23,23
Overall,2024-03-30,22
Overall,2024-04-06,31
Overall,2024-04-13,19
Overall,2024-04-20,139
Overall,2024-04-27,143
Overall,2024-05-04,118
Overall,2024-05-11,168
Overall,2024-05-18,167
Overall,2024-05-25,123
Overall,2024-06-01,171
Overall,2024-06-08,180
Overall,2024-06-15,140
Overall,2024-06-22,102
Overall,2024-06-29,179
Overall,2024-07-06,133
Overall,2024-07-13,132
Overall,2024-07-20,56
Overall,2024-07-27,43
Overall,2024-08-03,41
Overall,2024-08-10,26
Overall,2024-08-17,24
Overall,2024-08-24,16
Overall,2024-08-31,9
Overall,2024-09-07,23
Overall,2024-09-14,9
Overall,2024-09-21,20
Overall,2024-09-28,19
Overall,2024-10-05,11
Overall,2024-10-12,13
Overall,2024-10-19,45
Overall,2024-10-26,26
Overall,2024-11-02,19
Overall,2024-11-09,23
Overall,2024-11-16,25
Overall,2024-11-23,16
Overall,2024-11-30,9
Overall,2024-12-07,6
Overall,2024-12-14,3
Overall,2024-12-21,3
Overall,2024-12-28,5
Overall,2025-01-04,6
Overall,2025-01-11,5
Overall,2025-01-18,4
Overall,2025-01-25,5
Overall,2025-02-01,6
Overall,2025-02-08,10
Overall,2025-02-15,12
Overall,2025-02-22,5
Overall,2025-03-01,8
Overall,2025-03-08,4
Overall,2025-03-15,17
Overall,2025-03-22,7
Overall,2025-03-29,3
Overall,2025-04-05,9
Overall,2025-04-12,10
Overall,2025-04-19,19
Overall,2025-04-26,15
Overall,2025-05-03,21
Overall,2025-05-10,27
Overall,2025-05-17,43
Overall,2025-05-24,42
Overall,2025-05-31,58
Overall,2025-06-07,30
Overall,2025-06-14,74
Overall,2025-06-21,151
Overall,2025-06-28,209
Overall,2025-07-05,253
Overall,2025-07-12,309
Overall,2025-07-19,339
Overall,2025-07-26,397
Overall,2025-08-02,430
Overall,2025-08-09,351
Overall,2025-08-16,329
Overall,2025-08-23,315
Overall,2025-08-30,220
Overall,2025-09-06,137
Overall,2025-09-13,116
Overall,2025-09-20,94
Overall,2025-09-27,67
Overall,2025-10-04,34
Overall,2025-10-11,36
Overall,2025-10-18,17
Overall,2025-10-25,16
Overall,2025-11-01,11
Overall,2025-11-08,9
Overall,2025-11-15,4
Overall,2025-11-22,3
Overall,2025-11-29,2
Overall,2025-12-06,3
Overall,2025-12-13,4
Overall,2025-12-20,0
Overall,2025-12-27,4
Overall,2026-01-03,7
Overall,2026-01-10,7
Overall,2026-01-17,15
Overall,2026-01-24,16
Overall,2026-01-31,20
Overall,2026-02-07,17
Overall,2026-02-14,28
Overall,2026-02-21,52
Overall,2026-02-28,59
Overall,2026-03-07,67
Overall,2026-03-14,80
Overall,2026-03-21,30
Overall,2026-03-28,97
Overall,2026-04-04,112
Overall,2026-04-11,151
Overall,2026-04-18,137
Overall,2026-04-25,100
