date,target_group,value,population
2022-01-08,Adults,102,14194251
2022-01-08,Overall,131,19116209
2022-01-08,Pediatrics,29,4921958
2022-01-15,Adults,134,14194251
2022-01-15,Overall,177,19116209
2022-01-15,Pediatrics,43,4921958
2022-01-22,Adults,148,14194251
2022-01-22,Overall,182,19116209
2022-01-22,Pediatrics,34,4921958
2022-01-29,Adults,184,14194251
2022-01-29,Overall,210,19116209
2022-01-29,Pediatrics,26,4921958
2022-02-05,Adults,198,14194251
2022-02-05,Overall,234,19116209
2022-02-05,Pediatrics,36,4921958
2022-02-12,Adults,190,14194251
2022-02-12,Overall,209,19116209
2022-02-12,Pediatrics,19,4921958
2022-02-19,Adults,192,14194251
2022-02-19,Overall,219,19116209
2022-02-19,Pediatrics,27,4921958
2022-02-26,Adults,162,14194251
2022-02-26,Overall,181,19116209
2022-02-26,Pediatrics,19,4921958
2022-03-05,Adults,124,14194251
2022-03-05,Overall,140,19116209
2022-03-05,Pediatrics,16,4921958
2022-03-12,Adults,96,14194251
2022-03-12,Overall,122,19116209
2022-03-12,Pediatrics,26,4921958
2022-03-19,Adults,101,14194251
2022-03-19,Overall,140,19116209
2022-03-19,Pediatrics,39,4921958
2022-03-26,Adults,79,14194251
2022-03-26,Overall,118,19116209
2022-03-26,Pediatrics,39,4921958
2022-04-02,Adults,71,14194251
2022-04-02,Overall,121,19116209
2022-04-02,Pediatrics,50,4921958
2022-04-09,Adults,62,14194251
2022-04-09,Overall,103,19116209
2022-04-09,Pediatrics,41,4921958
2022-04-16,Adults,64,14194251
2022-04-16,Overall,117,19116209
2022-04-16,Pediatrics,53,4921958
2022-04-23,Adults,69,14194251
2022-04-23,Overall,143,19116209
2022-04-23,Pediatrics,74,4921958
2022-04-30,Adults,78,14194251
2022-04-30,Overall,174,19116209
2022-04-30,Pediatrics,96,4921958
2022-05-07,Adults,103,14194251
2022-05-07,Overall,222,19116209
2022-05-07,Pediatrics,119,4921958
2022-05-14,Adults,97,14194251
2022-05-14,Overall,213,19116209
2022-05-14,Pediatrics,116,4921958
2022-05-21,Adults,109,14194251
