date,target_group,population,value
2/5/22,Delaware,1051917,0
2/5/22,Florida,23372215,56
2/5/22,Georgia,11180878,53
2/5/22,Maryland,6263220,8
2/5/22,North Carolina,11046024,48
2/12/22,Delaware,1051917,0
2/12/22,Florida,23372215,47
2/12/22,Georgia,11180878,41
2/12/22,Maryland,6263220,6
2/12/22,North Carolina,11046024,27
2/19/22,Delaware,1051917,0
2/19/22,Florida,23372215,47
2/19/22,Georgia,11180878,48
2/19/22,Maryland,6263220,13
2/19/22,North Carolina,11046024,34
2/26/22,Delaware,1051917,0
2/26/22,Florida,23372215,55
2/26/22,Georgia,11180878,44
2/26/22,Maryland,6263220,15
2/26/22,North Carolina,11046024,34
3/5/22,Delaware,1051917,1
3/5/22,Florida,23372215,59
3/5/22,Georgia,11180878,27
3/5/22,Maryland,6263220,23
3/5/22,North Carolina,11046024,45
3/12/22,Delaware,1051917,7
3/12/22,Florida,23372215,47
3/12/22,Georgia,11180878,38
3/12/22,Maryland,6263220,16
3/12/22,North Carolina,11046024,56
3/19/22,Delaware,1051917,4
3/19/22,Florida,23372215,58
3/19/22,Georgia,11180878,35
3/19/22,Maryland,6263220,19
3/19/22,North Carolina,11046024,14
3/26/22,Delaware,1051917,4
3/26/22,Florida,23372215,84
3/26/22,Georgia,11180878,33
3/26/22,Maryland,6263220,30
3/26/22,North Carolina,11046024,25
4/2/22,Delaware,1051917,3
4/2/22,Florida,23372215,78
4/2/22,Georgia,11180878,45
4/2/22,Maryland,6263220,29
4/2/22,North Carolina,11046024,28
4/9/22,Delaware,1051917,7
4/9/22,Florida,23372215,83
4/9/22,Georgia,11180878,33
4/9/22,Maryland,6263220,47
4/9/22,North Carolina,11046024,40
4/16/22,Delaware,1051917,38
4/16/22,Florida,23372215,147
4/16/22,Georgia,11180878,42
4/16/22,Maryland,6263220,51
4/16/22,North Carolina,11046024,58
4/23/22,Delaware,1051917,17
4/23/22,Florida,23372215,140
4/23/22,Georgia,11180878,46
4/23/22,Maryland,6263220,43
4/23/22,North Carolina,11046024,46
4/30/22,Delaware,1051917,7
4/30/22,Florida,23372215,164
4/30/22,Georgia,11180878,36
4/30/22,Maryland,6263220,51
4/30/22,North Carolina,11046024,63
5/7/22,Delaware,1051917,4
5/7/22,Florida,23372215,213
5/7/22,Georgia,11180878,44
5/7/22,Maryland,6263220,46
5/7/22,North Carolina,11046024,55
5/14/22,Delaware,1051917,3
5/14/22,Florida,23372215,278
5/14/22,Georgia,11180878,60
5/14/22,Maryland,6263220,54
5/14/22,North Carolina,11046024,37
5/21/22,Delaware,1051917,4
5/21/22,Florida,23372215,371
5/21/22,Georgia,11180878,55
5/21/22,Maryland,6263220,45
5/21/22,North Carolina,11046024,48
5/28/22,Delaware,1051917,3
5/28/22,Florida,23372215,516
5/28/22,Georgia,11180878,62
5/28/22,Maryland,6263220,29
5/28/22,North Carolina,11046024,41
6/4/22,Delaware,1051917,9
6/4/22,Florida,23372215,663
6/4/22,Georgia,11180878,66
6/4/22,Maryland,6263220,17
6/4/22,North Carolina,11046024,22
6/11/22,Delaware,1051917,6
6/11/22,Florida,23372215,551
6/11/22,Georgia,11180878,48
6/11/22,Maryland,6263220,17
6/11/22,North Carolina,11046024,47
6/18/22,Delaware,1051917,1
6/18/22,Florida,23372215,460
6/18/22,Georgia,11180878,41
6/18/22,Maryland,6263220,21
6/18/22,North Carolina,11046024,59
6/25/22,Delaware,1051917,2
6/25/22,Florida,23372215,302
6/25/22,Georgia,11180878,27
6/25/22,Maryland,6263220,20
6/25/22,North Carolina,11046024,58
7/2/22,Delaware,1051917,0
7/2/22,Florida,23372215,208
7/2/22,Georgia,11180878,35
7/2/22,Maryland,6263220,13
7/2/22,North Carolina,11046024,41
7/9/22,Delaware,1051917,0
7/9/22,Florida,23372215,161
7/9/22,Georgia,11180878,28
7/9/22,Maryland,6263220,12
7/9/22,North Carolina,11046024,16
7/16/22,Delaware,1051917,1
7/16/22,Florida,23372215,124
7/16/22,Georgia,11180878,27
7/16/22,Maryland,6263220,7
7/16/22,North Carolina,11046024,41
7/23/22,Delaware,1051917,0
7/23/22,Florida,23372215,89
7/23/22,Georgia,11180878,28
7/23/22,Maryland,6263220,3
7/23/22,North Carolina,11046024,41
7/30/22,Delaware,1051917,0
7/30/22,Florida,23372215,74
7/30/22,Georgia,11180878,39
7/30/22,Maryland,6263220,3
7/30/22,North Carolina,11046024,12
8/6/22,Delaware,1051917,0
8/6/22,Florida,23372215,69
8/6/22,Georgia,11180878,33
8/6/22,Maryland,6263220,2
8/6/22,North Carolina,11046024,1
8/13/22,Delaware,1051917,0
8/13/22,Florida,23372215,74
8/13/22,Georgia,11180878,19
8/13/22,Maryland,6263220,5
8/13/22,North Carolina,11046024,9
8/20/22,Delaware,1051917,0
8/20/22,Florida,23372215,60
8/20/22,Georgia,11180878,13
8/20/22,Maryland,6263220,6
8/20/22,North Carolina,11046024,12
8/27/22,Delaware,1051917,0
8/27/22,Florida,23372215,65
8/27/22,Georgia,11180878,26
8/27/22,Maryland,6263220,4
8/27/22,North Carolina,11046024,12
9/3/22,Delaware,1051917,1
9/3/22,Florida,23372215,53
9/3/22,Georgia,11180878,20
9/3/22,Maryland,6263220,0
9/3/22,North Carolina,11046024,6
9/10/22,Delaware,1051917,0
9/10/22,Florida,23372215,50
9/10/22,Georgia,11180878,43
9/10/22,Maryland,6263220,3
9/10/22,North Carolina,11046024,14
9/17/22,Delaware,1051917,2
9/17/22,Florida,23372215,79
9/17/22,Georgia,11180878,46
9/17/22,Maryland,6263220,8
9/17/22,North Carolina,11046024,19
9/24/22,Delaware,1051917,0
9/24/22,Florida,23372215,78
9/24/22,Georgia,11180878,55
9/24/22,Maryland,6263220,3
9/24/22,North Carolina,11046024,11
10/1/22,Delaware,1051917,0
10/1/22,Florida,23372215,78
10/1/22,Georgia,11180878,77
10/1/22,Maryland,6263220,6
10/1/22,North Carolina,11046024,23
10/8/22,Delaware,1051917,0
10/8/22,Florida,23372215,113
10/8/22,Georgia,11180878,109
10/8/22,Maryland,6263220,17
10/8/22,North Carolina,11046024,21
10/15/22,Delaware,1051917,0
10/15/22,Florida,23372215,101
10/15/22,Georgia,11180878,144
10/15/22,Maryland,6263220,27
10/15/22,North Carolina,11046024,38
10/22/22,Delaware,1051917,1
10/22/22,Florida,23372215,124
10/22/22,Georgia,11180878,137
10/22/22,Maryland,6263220,43
10/22/22,North Carolina,11046024,73
10/29/22,Delaware,1051917,4
10/29/22,Florida,23372215,241
10/29/22,Georgia,11180878,216
10/29/22,Maryland,6263220,105
10/29/22,North Carolina,11046024,195
11/5/22,Delaware,1051917,10
11/5/22,Florida,23372215,290
11/5/22,Georgia,11180878,250
11/5/22,Maryland,6263220,156
11/5/22,North Carolina,11046024,301
11/12/22,Delaware,1051917,13
11/12/22,Florida,23372215,452
11/12/22,Georgia,11180878,263
11/12/22,Maryland,6263220,214
11/12/22,North Carolina,11046024,367
11/19/22,Delaware,1051917,53
11/19/22,Florida,23372215,517
11/19/22,Georgia,11180878,236
11/19/22,Maryland,6263220,210
11/19/22,North Carolina,11046024,379
11/26/22,Delaware,1051917,39
11/26/22,Florida,23372215,741
11/26/22,Georgia,11180878,258
11/26/22,Maryland,6263220,308
11/26/22,North Carolina,11046024,449
12/3/22,Delaware,1051917,86
12/3/22,Florida,23372215,919
12/3/22,Georgia,11180878,342
12/3/22,Maryland,6263220,411
12/3/22,North Carolina,11046024,660
12/10/22,Delaware,1051917,30
12/10/22,Florida,23372215,785
12/10/22,Georgia,11180878,209
12/10/22,Maryland,6263220,325
12/10/22,North Carolina,11046024,415
12/17/22,Delaware,1051917,25
12/17/22,Florida,23372215,846
